well,x,y,h, weight,model_h,err,sq_err,pt_size,pt_color
1,1138.0145278450364,1776.654748603352,12.1,1,11.508968892830342,-0.5910311071696572,0.34931776964219086,0.5910311071696572,blue
2,571.4285714285714,766.2122905027932,14.95,1,15.324712502390906,0.37471250239090637,0.140409459448055,0.37471250239090637,red
3,479.4188861985471,1896.3754189944132,14.79,1,15.892226295359938,1.102226295359939,1.2149028061828957,1.102226295359939,red
4,1452.784503631961,680.0134078212288,12.14,1,10.41196477384643,-1.7280352261535707,2.9861057428276223,1.7280352261535707,blue
5,479.4188861985471,713.5351955307262,15.13,1,15.947277163897853,0.8172771638978524,0.6679419626289171,0.8172771638978524,red
6,1607.7481840193705,407.0502793296089,12.36,1,12.174312172328275,-0.18568782767172465,0.03447996934544411,0.18568782767172465,blue
7,2518.1598062953994,584.2368715083799,9.32,1,10.720592074733103,1.4005920747331029,1.9616581598051777,1.4005920747331029,red
8,978.2082324455206,1901.164245810056,12.89,1,12.913605575739176,0.023605575739175322,0.0005572232059779425,0.023605575739175322,red
9,891.0411622276027,1489.3251396648045,13.49,1,12.765700020504045,-0.7242999794959548,0.5246104602978405,0.7242999794959548,blue
10,920.096852300242,1556.3687150837989,13.18,1,12.671072569751557,-0.508927430248443,0.2590071292592838,0.508927430248443,blue
11,1108.9588377723971,464.5162011173184,13.57,1,13.308537667319808,-0.2614623326801926,0.0683625514105677,0.2614623326801926,blue
12,2987.893462469733,775.789944134078,7.94,0,9.471420730416183,1.5314207304161824,2.345249453548434,1.5314207304161824,red
13,251.81598062953992,1585.1016759776537,15.23,1,16.513090458958658,1.2830904589586574,1.646321125870738,1.2830904589586574,red
14,1046.004842615012,2121.450279329609,12.4,1,12.684073986178625,0.28407398617862434,0.08069802962341326,0.28407398617862434,red
15,1893.462469733656,1465.3810055865922,7.05,1,4.132235822730907,-2.9177641772690928,8.513347794154786,2.9177641772690928,blue
16,1544.7941888619853,871.5664804469272,11.16,1,8.323941852439892,-2.8360581475601077,8.04322581634207,2.8360581475601077,blue
17,1418.8861985472154,1398.3374301675976,10.42,1,7.433814426692714,-2.986185573307286,8.917304278228563,2.986185573307286,blue
18,1985.47215496368,1522.8469273743017,5.91,1,3.499783029555009,-2.410216970444991,5.809145844621032,2.410216970444991,blue
19,2774.8184019370456,1302.5608938547489,3.71,1,3.957074453575431,0.247074453575431,0.061045785609597815,0.247074453575431,red
20,605.3268765133172,1767.077094972067,14.28,1,15.224852571830226,0.9448525718302268,0.8927463824941938,0.9448525718302268,red
21,920.096852300242,1273.8279329608938,13.41,1,11.842904503121527,-1.5670954968784727,2.455788296336787,1.5670954968784727,blue
22,1956.416464891041,1058.330726256983,8.64,1,7.199845354434682,-1.4401546455653182,2.0740454031433675,1.4401546455653182,blue
23,1476.9975786924938,181.9754189944133,13.13,1,13.348568638752548,0.21856863875254717,0.047772249846141465,0.21856863875254717,red
24,2329.2978208232444,1398.3374301675976,2.99,1,1.4539376489790052,-1.536062351020995,2.3594875462241465,1.536062351020995,blue
25,2208.2324455205808,617.758659217877,9.83,1,10.639040909312815,0.8090409093128148,0.6545471929417063,0.8090409093128148,red
26,634.3825665859564,866.7776536312849,14.75,1,14.699420824809133,-0.050579175190867076,0.0025582529629884234,0.050579175190867076,blue
27,663.4382566585956,373.5284916201115,14.98,1,15.859453367552277,0.8794533675522764,0.7734382256990394,0.8794533675522764,red
28,1956.416464891041,1020.0201117318436,9.1,1,7.71480793910887,-1.3851920608911295,1.9187570455558145,1.3851920608911295,blue
29,2426.150121065375,1829.331843575419,0.15,1,0.0,-0.15,0.0225,0.15,blue
30,949.1525423728812,1278.6167597765364,13.15,1,11.54919391366078,-1.6008060863392206,2.562580126060692,1.6008060863392206,blue
31,1733.6561743341404,181.9754189944133,12.23,1,12.84486346330906,0.6148634633090602,0.378057078512412,0.6148634633090602,red
32,2295.3995157384984,967.3430167597764,7.76,1,7.845716446630798,0.0857164466307978,0.0073473092230104085,0.0857164466307978,red
33,1704.6004842615012,153.24245810055845,12.26,1,12.943384390949587,0.6833843909495876,0.46701422579353874,0.6833843909495876,red
34,2111.38014527845,775.789944134078,9.35,1,9.662591553217855,0.3125915532178549,0.09771347914315102,0.3125915532178549,red
35,445.5205811138013,220.2860335195528,15.49,1,16.876218637783513,1.3862186377835126,1.9216021117383772,1.3862186377835126,red
36,256.65859564164646,933.8212290502792,15.44,1,16.507070494853195,1.067070494853196,1.1386394409862444,1.067070494853196,red
37,348.6682808716706,1245.094972067039,15.3,1,16.02813597635562,0.7281359763556203,0.5301820000633525,0.7281359763556203,red
38,130.75060532687644,1680.8782122905027,15.13,1,16.774070486262428,1.644070486262427,2.702967763799173,1.644070486262427,red
39,2552.058111380145,929.0324022346368,7.15,1,8.292190360535761,1.1421903605357606,1.304598819700811,1.1421903605357606,red
40,1791.7675544794188,1245.094972067039,8.77,1,5.602325055082037,-3.1676749449179624,10.034164556661016,3.1676749449179624,blue
41,1583.5351089588376,23.9441340782123,12.74,1,13.263359830863998,0.5233598308639973,0.27390551256199186,0.5233598308639973,red
42,67.79661016949149,1058.330726256983,15.52,0,16.818437519592226,1.2984375195922269,1.6859399922848146,1.2984375195922269,red
43,164.6489104116223,1053.5418994413408,15.45,1,16.715566708753776,1.2655667087537772,1.601659094305868,1.2655667087537772,red
44,1641.646489104116,1360.026815642458,8.94,1,4.510401255741984,-4.429598744258016,19.62134503513219,4.429598744258016,blue
45,1612.5907990314768,622.5474860335194,11.65,1,10.79457705536862,-0.8554229446313801,0.7317484142018212,0.8554229446313801,blue
