x,y,h
2450.5672609400326,1697.9525959367945,0
2304.700162074554,1547.9909706546275,0.0513
2129.659643435981,1567.3408577878104,0.0946
1876.8233387358184,1581.8532731376974,0.1612
1623.9870340356563,1417.3792325056434,0.24
1551.0534846029175,1223.880361173815,0.2913
1521.8800648298218,1069.0812641083521,0.3329
1473.257698541329,986.844243792325,0.3569
1356.5640194489467,938.4695259593677,0.3894
1200.97244732577,928.7945823927764,0.4299
1079.416531604538,967.4943566591421,0.4632
948.1361426256078,1030.3814898419864,0.5
